date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:13:58	43/43	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Oct%202018%2012:52:54%20GMT	http://wormax.io/onloadpixel?etag=1650762768308	C:/Users/Lenovo/Downloads/wormax.io/wormax.io/onloadpixela57e.png	(from http://wormax.io/?lang=tr)
03:13:58	7804/7804	---M--	200	added ('OK')	application/javascript	etag:%22620b9154-1e7c%22	http://cdn.wormax.io/SnakeGame/SnakeGame.nocache.js?etag=1650762767984	C:/Users/Lenovo/Downloads/wormax.io/cdn.wormax.io/SnakeGame/SnakeGame.nocache995c.js	(from http://wormax.io/?lang=it)
03:13:59	43/43	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Oct%202018%2012:52:54%20GMT	http://wormax.io/onloadpixel?etag=1650762768808	C:/Users/Lenovo/Downloads/wormax.io/wormax.io/onloadpixel1112.png	(from http://wormax.io/?lang=pl)
03:13:59	7804/7804	---M--	200	added ('OK')	application/javascript	etag:%22620b9154-1e7c%22	http://cdn.wormax.io/SnakeGame/SnakeGame.nocache.js?etag=1650762768308	C:/Users/Lenovo/Downloads/wormax.io/cdn.wormax.io/SnakeGame/SnakeGame.nocachea57e.js	(from http://wormax.io/?lang=tr)
03:13:59	43/43	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Oct%202018%2012:52:54%20GMT	http://wormax.io/onloadpixel?etag=1650762769636	C:/Users/Lenovo/Downloads/wormax.io/wormax.io/onloadpixel7a7f.png	(from http://wormax.io/?lang=bg)
03:13:59	7804/7804	---M--	200	added ('OK')	application/javascript	etag:%22620b9154-1e7c%22	http://cdn.wormax.io/SnakeGame/SnakeGame.nocache.js?etag=1650762768808	C:/Users/Lenovo/Downloads/wormax.io/cdn.wormax.io/SnakeGame/SnakeGame.nocache1112.js	(from http://wormax.io/?lang=pl)
03:14:00	43/43	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Oct%202018%2012:52:54%20GMT	http://wormax.io/onloadpixel?etag=1650762770758	C:/Users/Lenovo/Downloads/wormax.io/wormax.io/onloadpixel6738.png	(from http://wormax.io/?lang=nl)
03:14:00	7804/7804	---M--	200	added ('OK')	application/javascript	etag:%22620b9154-1e7c%22	http://cdn.wormax.io/SnakeGame/SnakeGame.nocache.js?etag=1650762769636	C:/Users/Lenovo/Downloads/wormax.io/cdn.wormax.io/SnakeGame/SnakeGame.nocache7a7f.js	(from http://wormax.io/?lang=bg)
03:14:00	43/43	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Oct%202018%2012:52:54%20GMT	http://wormax.io/onloadpixel?etag=1650762771427	C:/Users/Lenovo/Downloads/wormax.io/wormax.io/onloadpixel47cf.png	(from http://wormax.io/?lang=hr)
03:14:01	7804/7804	---M--	200	added ('OK')	application/javascript	etag:%22620b9154-1e7c%22	http://cdn.wormax.io/SnakeGame/SnakeGame.nocache.js?etag=1650762770758	C:/Users/Lenovo/Downloads/wormax.io/cdn.wormax.io/SnakeGame/SnakeGame.nocache6738.js	(from http://wormax.io/?lang=nl)
